                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2849,                0.64536,                 1.2337,                0.89111,                0.83056,                0.91415,                0.59818,                 1.5984,                0.97718,                 1.6039,              0.0011833,              0.0011833,              0.0011833
                     36,                 1.2698,                0.64154,                 1.2255,                0.87663,                0.83563,                0.91277,                0.59838,                 1.6087,                  1.004,                 1.6427,              0.0011585,              0.0011585,              0.0011585
                     37,                  1.268,                0.63639,                 1.2254,                0.86451,                0.85246,                 0.9177,                0.60397,                 1.5981,                0.93037,                 1.6378,              0.0011337,              0.0011337,              0.0011337
                     38,                 1.2546,                0.62761,                 1.2171,                0.87745,                 0.8407,                0.91041,                0.60609,                 1.6185,                 1.0485,                 1.6326,               0.001109,               0.001109,               0.001109
                     39,                 1.2514,                0.62067,                 1.2122,                0.86762,                 0.8483,                0.90885,                0.60545,                 1.5831,                0.99843,                 1.6056,              0.0010842,              0.0010842,              0.0010842
                     40,                 1.2513,                0.62133,                  1.211,                0.86932,                0.85192,                0.91426,                0.60916,                 1.5976,                0.99635,                 1.6036,              0.0010595,              0.0010595,              0.0010595
                     41,                 1.2402,                0.61999,                  1.208,                0.88073,                0.84721,                0.91846,                0.60737,                 1.5915,                0.97053,                 1.5925,              0.0010347,              0.0010347,              0.0010347
                     42,                 1.2349,                 0.6149,                 1.1978,                 0.8873,                0.82875,                0.91361,                 0.6014,                 1.6168,                0.97034,                 1.6282,                0.00101,                0.00101,                0.00101
                     43,                 1.2308,                0.60871,                 1.2023,                 0.8847,                0.84172,                0.91919,                0.61203,                 1.5775,                 0.9761,                 1.5936,             0.00098525,             0.00098525,             0.00098525
                     44,                 1.2302,                0.60906,                 1.2035,                0.88202,                0.84432,                0.91542,                0.61109,                 1.5608,                 0.9887,                 1.5806,              0.0009605,              0.0009605,              0.0009605
                     45,                 1.2137,                 0.6007,                 1.1902,                0.86144,                0.86676,                0.91935,                0.60967,                  1.565,                 0.9397,                 1.5845,             0.00093575,             0.00093575,             0.00093575
                     46,                 1.2116,                0.59824,                 1.1933,                0.88414,                0.83997,                0.91767,                0.60691,                 1.5989,                0.91013,                 1.6244,               0.000911,               0.000911,               0.000911
                     47,                 1.2024,                0.59499,                 1.1878,                0.87651,                0.84806,                0.92023,                0.60878,                 1.6107,                0.93549,                 1.6206,             0.00088625,             0.00088625,             0.00088625
                     48,                 1.1951,                0.59288,                 1.1801,                0.88193,                0.85264,                0.92088,                0.61278,                 1.5832,                0.92056,                 1.6116,              0.0008615,              0.0008615,              0.0008615
                     49,                 1.1808,                 0.5853,                 1.1741,                0.87788,                0.85373,                0.91803,                0.61422,                 1.6017,                 0.9421,                 1.6408,             0.00083675,             0.00083675,             0.00083675
                     50,                 1.1925,                0.58706,                 1.1828,                0.88155,                0.85689,                 0.9194,                0.61414,                 1.5841,                0.93366,                 1.6215,               0.000812,               0.000812,               0.000812
                     51,                 1.1789,                0.58289,                 1.1795,                0.86251,                0.86061,                0.91847,                0.61204,                 1.6036,                0.92842,                 1.6454,             0.00078725,             0.00078725,             0.00078725
                     52,                 1.1719,                0.57747,                 1.1691,                0.85969,                 0.8635,                0.92047,                0.61145,                 1.6142,                0.90339,                 1.6494,              0.0007625,              0.0007625,              0.0007625
                     53,                 1.1622,                0.57344,                 1.1699,                0.86797,                0.85926,                0.91797,                0.61226,                 1.6002,                 0.9148,                 1.6169,             0.00073775,             0.00073775,             0.00073775
                     54,                  1.165,                 0.5714,                 1.1636,                0.88569,                0.84441,                0.91866,                0.61211,                 1.5948,                0.88376,                   1.63,               0.000713,               0.000713,               0.000713
                     55,                 1.1614,                 0.5707,                 1.1692,                0.87383,                0.86423,                0.92124,                0.61432,                 1.5966,                0.89128,                 1.6256,             0.00068825,             0.00068825,             0.00068825
                     56,                 1.1506,                0.56358,                 1.1601,                   0.89,                0.84613,                0.92259,                0.61573,                 1.5645,                 0.8554,                 1.5949,              0.0006635,              0.0006635,              0.0006635
                     57,                 1.1538,                0.56411,                  1.159,                0.88934,                0.85254,                0.92492,                0.61659,                 1.5777,                0.85806,                 1.6051,             0.00063875,             0.00063875,             0.00063875
                     58,                 1.1335,                0.55967,                 1.1491,                0.88891,                0.86206,                0.93063,                0.61583,                 1.5618,                0.86035,                 1.5908,               0.000614,               0.000614,               0.000614
                     59,                 1.1364,                0.55552,                 1.1484,                0.88217,                0.86203,                 0.9276,                0.61975,                 1.5762,                0.85488,                 1.5924,             0.00058925,             0.00058925,             0.00058925
                     60,                 1.1335,                0.55483,                 1.1485,                0.89653,                0.85018,                0.92647,                0.61661,                 1.5812,                0.87278,                 1.6036,              0.0005645,              0.0005645,              0.0005645
                     61,                 1.1278,                0.55194,                 1.1485,                0.88765,                0.85482,                0.92567,                0.61927,                 1.5867,                0.87215,                 1.6012,             0.00053975,             0.00053975,             0.00053975
                     62,                 1.1105,                0.54573,                 1.1334,                0.89228,                0.84866,                0.92552,                0.61892,                  1.589,                0.89917,                 1.6155,               0.000515,               0.000515,               0.000515
                     63,                 1.1117,                0.54339,                 1.1365,                0.88572,                 0.8559,                0.92334,                0.61467,                  1.597,                0.90425,                 1.6361,             0.00049025,             0.00049025,             0.00049025
                     64,                 1.1009,                0.53997,                 1.1314,                0.88499,                0.86089,                0.92469,                0.61594,                 1.5754,                0.86854,                 1.5996,              0.0004655,              0.0004655,              0.0004655
                     65,                 1.0989,                0.53586,                 1.1273,                0.87546,                0.86786,                0.92386,                0.61642,                 1.5826,                0.86356,                 1.6104,             0.00044075,             0.00044075,             0.00044075
                     66,                 1.0926,                0.53905,                 1.1287,                0.87264,                0.87072,                0.92633,                0.61798,                 1.5801,                0.85576,                 1.5946,               0.000416,               0.000416,               0.000416
                     67,                  1.089,                0.53358,                 1.1279,                0.88621,                0.85916,                0.92433,                0.61727,                 1.5794,                0.87905,                 1.5881,             0.00039125,             0.00039125,             0.00039125
                     68,                 1.0831,                0.52868,                 1.1223,                0.88175,                0.86389,                0.92675,                0.61846,                 1.5611,                0.84752,                 1.5773,              0.0003665,              0.0003665,              0.0003665
                     69,                 1.0852,                0.52946,                 1.1225,                0.89233,                0.85807,                0.92656,                0.61872,                 1.5932,                0.86151,                 1.6186,             0.00034175,             0.00034175,             0.00034175
                     70,                 1.0728,                0.52347,                 1.1157,                 0.8753,                0.86966,                0.92628,                0.61812,                 1.5918,                0.86059,                 1.6085,               0.000317,               0.000317,               0.000317
                     71,                 1.1034,                0.49055,                 1.1534,                0.86873,                 0.8626,                0.92061,                0.61454,                 1.6075,                0.91815,                 1.6274,             0.00029225,             0.00029225,             0.00029225
                     72,                 1.0677,                0.48069,                 1.1317,                0.89015,                0.84757,                0.92056,                0.61663,                 1.6035,                    0.9,                 1.6226,              0.0002675,              0.0002675,              0.0002675
                     73,                 1.0633,                0.47677,                  1.129,                0.88775,                0.85771,                0.92482,                0.61875,                 1.6043,                0.90751,                 1.6364,             0.00024275,             0.00024275,             0.00024275
                     74,                 1.0592,                0.47602,                  1.124,                0.88389,                0.86544,                0.92567,                0.61988,                 1.6067,                0.89682,                 1.6322,               0.000218,               0.000218,               0.000218
                     75,                 1.0437,                 0.4693,                 1.1167,                 0.8809,                0.86604,                0.92403,                 0.6197,                 1.5964,                0.88764,                 1.6327,             0.00019325,             0.00019325,             0.00019325
                     76,                  1.044,                 0.4682,                 1.1197,                0.88723,                0.86314,                0.92568,                0.62177,                 1.5988,                0.89486,                 1.6282,              0.0001685,              0.0001685,              0.0001685
                     77,                 1.0424,                0.46741,                 1.1188,                0.89133,                 0.8635,                0.92437,                  0.621,                 1.6044,                0.90535,                 1.6376,             0.00014375,             0.00014375,             0.00014375
                     78,                 1.0321,                0.46255,                  1.112,                0.88276,                0.86894,                0.92482,                0.62137,                 1.5905,                0.88617,                 1.6245,               0.000119,               0.000119,               0.000119
                     79,                   1.02,                0.46032,                 1.1047,                0.89939,                 0.8588,                0.92648,                0.62161,                 1.6004,                0.88105,                 1.6365,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                 1.0142,                0.45634,                  1.105,                0.88501,                0.86665,                0.92358,                0.62255,                 1.6026,                0.88073,                 1.6362,               6.95e-05,               6.95e-05,               6.95e-05
