                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.54926,                0.47559,                 1.0166,                0.95629,                0.90868,                0.95064,                0.55159,                 1.4085,                0.62493,                 1.3205,              0.0006932,              0.0006932,              0.0006932
                     36,                0.55236,                0.47305,                  1.023,                0.94207,                0.93607,                0.96345,                0.56981,                 1.3641,                 0.6039,                 1.3021,              0.0006536,              0.0006536,              0.0006536
                     37,                0.53956,                0.45354,                 1.0157,                 0.9544,                0.91933,                0.95638,                0.55526,                 1.3956,                0.61381,                 1.3244,               0.000614,               0.000614,               0.000614
                     38,                0.53328,                0.44796,                 1.0121,                0.94652,                0.91476,                0.95635,                0.56518,                 1.3758,                0.60565,                 1.3034,              0.0005744,              0.0005744,              0.0005744
                     39,                0.52331,                0.44255,                  1.009,                0.94084,                0.95738,                0.96745,                0.57515,                   1.36,                0.58142,                    1.3,              0.0005348,              0.0005348,              0.0005348
                     40,                0.51159,                0.43432,                 1.0024,                0.94889,                0.92846,                0.95858,                0.57009,                 1.3713,                0.57866,                  1.307,              0.0004952,              0.0004952,              0.0004952
                     41,                0.47144,                0.31362,                0.96741,                0.95277,                0.93455,                0.96517,                0.58265,                 1.3371,                0.57242,                 1.2848,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.4618,                0.29829,                0.95901,                0.94978,                0.91324,                0.95782,                0.58583,                  1.324,                0.57506,                 1.2909,               0.000416,               0.000416,               0.000416
                     43,                0.44886,                0.28678,                0.95134,                0.96398,                0.94673,                0.97132,                0.59309,                 1.2985,                0.54413,                 1.2732,              0.0003764,              0.0003764,              0.0003764
                     44,                0.44059,                  0.281,                0.94897,                0.96242,                0.94673,                0.96903,                0.59364,                 1.3106,                0.55347,                 1.2732,              0.0003368,              0.0003368,              0.0003368
                     45,                0.43508,                0.27796,                0.94175,                0.95554,                 0.9487,                0.96951,                0.59731,                 1.2972,                0.54392,                 1.2751,              0.0002972,              0.0002972,              0.0002972
                     46,                0.42137,                 0.2661,                0.93751,                0.96405,                0.93869,                0.96698,                 0.6011,                 1.2888,                0.53105,                 1.2621,              0.0002576,              0.0002576,              0.0002576
                     47,                0.41553,                0.26027,                0.93342,                0.96779,                0.94521,                0.96553,                0.60251,                 1.2925,                0.53032,                 1.2663,               0.000218,               0.000218,               0.000218
                     48,                0.40835,                0.25345,                0.92622,                0.97493,                0.94688,                0.96893,                0.59746,                 1.2961,                0.53451,                 1.2662,              0.0001784,              0.0001784,              0.0001784
                     49,                0.40284,                0.24577,                0.92782,                0.97203,                0.94673,                0.96695,                0.61153,                  1.277,                0.53086,                 1.2561,              0.0001388,              0.0001388,              0.0001388
                     50,                0.39633,                0.23994,                0.92105,                0.96745,                0.94998,                0.96865,                0.61433,                 1.2654,                0.52369,                 1.2491,               9.92e-05,               9.92e-05,               9.92e-05
